time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,0.236962768369,-0.241525391998,12.2847519378,6.18041117504,6.17522957679,0.0,0.673118588595,-0.671744872294,3.45528430201,-0.0678525534346,-0.14175998241,0.0,437.88781721494433,436.4033028544066,436.2947049885963,437.2393878939896
1.3800000000000008,0.279485193035,-0.283844366211,12.4937570411,6.17632049134,6.16680125768,0.0,0.745078628977,-0.739249993281,3.51119192545,-0.0688368129363,-0.138015719319,0.0,437.5831384949234,437.87605404665993,436.98949658888984,436.90384972834016
1.4400000000000008,0.326484449001,-0.330289451207,12.7060637859,6.17225325513,6.15827700958,0.0,0.822333136125,-0.809281102341,3.56532590014,-0.0657677278518,-0.15173974642,0.0,438.6277538837197,437.4671459372066,436.9507350475909,437.20299211642816
1.5000000000000009,0.377962530109,-0.380730227385,12.9190621535,6.16818967723,6.14898974341,0.0,0.894364813008,-0.872409829402,3.53451338552,-0.071960936921,-0.161702320487,0.0,410.6057990409309,409.69598313529195,410.1806117637496,409.62631502207404
1.560000000000001,0.434370279952,-0.435407903551,13.133456767,6.16402234922,6.13930857629,0.0,0.98680234601,-0.950553111589,3.61146000089,-0.0648664526077,-0.160663638384,0.0,446.0841727067994,446.14433092684254,445.6538243803217,446.2297025714362
1.620000000000001,0.496926983255,-0.495189306766,13.3552074714,6.15973611565,6.12998453947,0.0,1.09938236756,-1.04252562892,3.77935661013,-0.0897150086668,-0.146547326811,0.0,474.52633116174144,475.5874957607924,476.2908444543639,474.3826959041515
1.680000000000001,0.565560100168,-0.559886142345,13.5813509051,6.15400371323,6.12086711939,0.0,1.18912847388,-1.11449298031,3.75854628794,-0.110929669595,-0.165871914174,0.0,417.70378279735627,415.99111219693754,417.68189677874074,415.81869626055266
1.740000000000001,0.640552223397,-0.629642771625,13.8110936293,6.14724813574,6.11078791078,0.0,1.31158184057,-1.21135812336,3.89864218645,-0.116142856825,-0.172585978073,0.0,469.73620233224045,469.1898084628471,469.1940748267812,468.77858033912855
1.8000000000000012,0.723110324009,-0.705355833693,14.0491690493,6.14012265937,6.10028576346,0.0,1.44135518038,-1.31306310064,4.03623999701,-0.124575227136,-0.180442046432,0.0,470.42718859198675,469.79068976038707,470.96126442917216,470.29667740285095
1.8600000000000012,0.812904115729,-0.786724602972,14.2913046107,6.1325598912,6.08927960641,0.0,1.55268318546,-1.39984869736,4.03450612152,-0.129159957712,-0.190208551234,0.0,428.54266808533214,427.6774559245373,427.870810633184,427.46509445197415
1.9200000000000013,0.909884421579,-0.873670719372,14.5348351118,6.12440659905,6.07809720432,0.0,1.68097616996,-1.49902652228,4.08246825303,-0.154806494529,-0.179644136944,0.0,444.2769951003041,445.10864033794735,447.03694480520437,444.9244242945214
1.9800000000000013,1.01513457634,-0.967001266835,14.7828777684,6.11498520109,6.06761522792,0.0,1.82830636063,-1.61282706939,4.18460326453,-0.161866076938,-0.166306117497,0.0,463.58877674429016,464.6076382306221,464.51764856168813,463.9413998582261
